PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
14675,8064,3034.0,640,,,,,,,,63672.0,63118.0
14626,8080,3034.0,664,,,,,,,,63673.0,63118.0
14631,8064,3032.0,664,,,,,,,,63673.0,63117.0
14620,8080,3034.0,640,,,,,,,,63672.0,63118.0
14618,8072,3034.0,648,,,,,,,,63672.0,63116.0
14619,8064,3035.0,664,,,,,,,,63674.0,63119.0
14616,8072,3032.0,632,,,,,,,,63674.0,63118.0
14624,8072,3034.0,648,,,,,,,,63672.0,63119.0
14647,8048,3035.0,648,,,,,,,,63673.0,63116.0
14681,8064,3035.0,640,,,,,,,,63673.0,63119.0
14679,8056,3032.0,632,,,,,,,,63673.0,63118.0
14678,8056,3035.0,624,,,,,,,,63673.0,63119.0
14686,8064,3035.0,624,,,,,,,,63674.0,63118.0
14691,8064,3035.0,632,,,,,,,,63673.0,63119.0
14659,8048,3032.0,656,,,,,,,,63673.0,63117.0
14685,8064,3035.0,656,,,,,,,,63673.0,63119.0
14679,8048,3032.0,656,,,,,,,,63673.0,63117.0
14685,8072,3031.0,640,,,,,,,,63673.0,63119.0
14686,8056,3032.0,648,,,,,,,,63675.0,63117.0
14674,8032,3034.0,648,,,,,,,,63673.0,63119.0
14679,8048,3034.0,656,,,,,,,,63673.0,63118.0
14555,8064,3034.0,648,,,,,,,,63673.0,63119.0
14637,8048,3035.0,648,,,,,,,,63674.0,63119.0
14636,8048,3035.0,648,,,,,,,,63673.0,63120.0
14637,8072,3034.0,640,,,,,,,,63674.0,63118.0
14648,8048,3034.0,624,,,,,,,,63674.0,63119.0
14632,8056,3034.0,664,,,,,,,,63674.0,63119.0
14635,8064,3032.0,648,,,,,,,,63674.0,63119.0
14649,8048,3034.0,616,,,,,,,,63674.0,63118.0
14679,8048,3032.0,640,,,,,,,,63674.0,63120.0
14679,8064,3032.0,656,,,,,,,,63674.0,63118.0
14682,8032,3034.0,656,,,,,,,,63674.0,63119.0
14684,8072,3034.0,648,,,,,,,,63673.0,63118.0
14684,8048,3032.0,624,,,,,,,,63674.0,63119.0
14696,8048,3032.0,640,,,,,,,,63673.0,63117.0
14648,8064,3034.0,632,,,,,,,,63674.0,63119.0
14683,8056,3034.0,648,,,,,,,,63674.0,63117.0
14686,8080,3032.0,640,,,,,,,,63674.0,63119.0
14686,8064,3034.0,656,,,,,,,,63674.0,63118.0
14681,8064,3032.0,640,,,,,,,,63673.0,63119.0
14693,8048,3035.0,648,,,,,,,,63673.0,63118.0
14639,8056,3035.0,640,,,,,,,,63674.0,63119.0
14642,8056,3032.0,648,,,,,,,,63674.0,63120.0
14633,8048,3034.0,664,,,,,,,,63673.0,63119.0
14631,8048,3032.0,640,,,,,,,,63674.0,63118.0
14637,8072,3032.0,656,,,,,,,,63674.0,63120.0
14627,8064,3034.0,648,,,,,,,,63674.0,63118.0
14640,8064,3034.0,656,,,,,,,,63673.0,63118.0
14652,8064,3034.0,648,,,,,,,,63674.0,63118.0
14682,8048,3034.0,640,,,,,,,,63673.0,63119.0
14677,8040,3032.0,656,,,,,,,,63674.0,63118.0
14685,8064,3034.0,640,,,,,,,,63674.0,63119.0
14691,8064,3034.0,640,,,,,,,,63674.0,63119.0
14683,8080,3034.0,632,,,,,,,,63674.0,63119.0
14681,8064,3035.0,632,,,,,,,,63674.0,63118.0
14649,8056,3034.0,632,,,,,,,,63674.0,63119.0
14674,8040,3032.0,648,,,,,,,,63674.0,63119.0
