PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
14481.0,19272,2891.0,31848,,,,,,,,64719.0,47532.0
14475.0,19248,2892.0,31824,,,,,,,,64723.0,47533.0
14467.0,19264,2894.0,31856,,,,,,,,64720.0,47532.0
14467.0,19208,2892.0,31848,,,,,,,,64720.0,47532.0
14467.0,19248,2892.0,31856,,,,,,,,64722.0,47532.0
14466.0,19224,2891.0,31848,,,,,,,,64725.0,47531.0
14506.0,19232,2892.0,31824,,,,,,,,64720.0,47531.0
14499.0,19232,2892.0,31856,,,,,,,,64722.0,47530.0
14496.0,19256,2892.0,31856,,,,,,,,64719.0,47529.0
14499.0,19280,2894.0,31856,,,,,,,,64722.0,47529.0
14496.0,19248,2891.0,31840,,,,,,,,64720.0,47530.0
14492.0,19224,2892.0,31832,,,,,,,,64722.0,47534.0
14489.0,19256,2892.0,31848,,,,,,,,64719.0,47531.0
14465.0,19232,2894.0,31824,,,,,,,,64720.0,47530.0
14470.0,19176,2892.0,31832,,,,,,,,64719.0,47532.0
14471.0,19208,2894.0,31832,,,,,,,,64720.0,47530.0
14473.0,19176,2892.0,31832,,,,,,,,64721.0,47530.0
14469.0,19152,2894.0,31816,,,,,,,,64723.0,47530.0
14472.0,19104,2892.0,31808,,,,,,,,64718.0,47531.0
14499.0,19104,2892.0,31784,,,,,,,,64721.0,47531.0
14477.0,19072,2891.0,31792,,,,,,,,64720.0,47530.0
14474.0,19016,2895.0,31784,,,,,,,,64723.0,47530.0
14480.0,19040,2894.0,31776,,,,,,,,64718.0,47531.0
14473.0,19000,2892.0,31768,,,,,,,,64721.0,47530.0
14469.0,18976,2891.0,31768,,,,,,,,64722.0,47531.0
14461.0,18944,2892.0,31760,,,,,,,,64721.0,47530.0
14490.0,18920,2894.0,31744,,,,,,,,64718.0,47531.0
14495.0,18904,2894.0,31752,,,,,,,,64721.0,47532.0
14492.0,18864,2894.0,31720,,,,,,,,64719.0,47530.0
14499.0,18840,2892.0,31712,,,,,,,,64723.0,47528.0
14495.0,18816,2892.0,31720,,,,,,,,64712.0,47528.0
14495.0,18792,2894.0,31720,,,,,,,,64715.0,47526.0
14496.0,18792,2894.0,31704,,,,,,,,64714.0,47526.0
14467.0,18784,2894.0,31688,,,,,,,,64715.0,47525.0
14473.0,18736,2894.0,31696,,,,,,,,64712.0,47525.0
14474.0,18728,2892.0,31672,,,,,,,,64712.0,47524.0
14468.0,18704,2894.0,31680,,,,,,,,64710.0,47523.0
14467.0,18712,2894.0,31664,,,,,,,,64711.0,47523.0
14478.0,18672,2894.0,31672,,,,,,,,64708.0,47521.0
14475.0,18640,2892.0,31648,,,,,,,,64710.0,47522.0
14485.0,18584,2891.0,31656,,,,,,,,64711.0,47521.0
14478.0,18600,2892.0,31656,,,,,,,,64717.0,47521.0
14472.0,18624,2891.0,31656,,,,,,,,64709.0,47521.0
14475.0,18584,2892.0,31664,,,,,,,,64710.0,47521.0
14462.0,18576,2892.0,31648,,,,,,,,64708.0,47521.0
14455.0,18568,2894.0,31656,,,,,,,,64710.0,47520.0
14488.0,18528,2895.0,31648,,,,,,,,64708.0,47519.0
14500.0,18512,2894.0,31616,,,,,,,,64710.0,47520.0
14513.0,18528,2894.0,31608,,,,,,,,64711.0,47521.0
14520.0,18480,2892.0,31632,,,,,,,,64710.0,47519.0
14513.0,18440,2892.0,31608,,,,,,,,64709.0,47520.0
14512.0,18408,2892.0,31600,,,,,,,,64710.0,47521.0
14512.0,18416,2894.0,31592,,,,,,,,64709.0,47520.0
14513.0,18432,2894.0,31576,,,,,,,,64712.0,47520.0
14467.0,18344,2892.0,31584,,,,,,,,64710.0,47518.0
14493.0,18336,2891.0,31576,,,,,,,,64709.0,47519.0
14485.0,18336,2892.0,31576,,,,,,,,64710.0,47520.0
14486.0,18320,2894.0,31560,,,,,,,,64711.0,47518.0
14491.0,18304,2894.0,31568,,,,,,,,64707.0,47519.0
14479.0,18280,2894.0,31544,,,,,,,,64710.0,47519.0
14501.0,18272,2894.0,31552,,,,,,,,64708.0,47518.0
14498.0,18240,2892.0,31544,,,,,,,,64710.0,47518.0
14485.0,18208,2894.0,31528,,,,,,,,64709.0,47519.0
14497.0,18200,2892.0,31520,,,,,,,,64710.0,47521.0
14488.0,18200,2892.0,31528,,,,,,,,64707.0,47519.0
14487.0,18176,2895.0,31504,,,,,,,,64710.0,47518.0
14494.0,18160,2892.0,31512,,,,,,,,64711.0,47518.0
14475.0,18160,2894.0,31504,,,,,,,,64709.0,47519.0
14512.0,18120,2894.0,31488,,,,,,,,64711.0,47518.0
14517.0,18112,2890.0,31496,,,,,,,,64709.0,47519.0
14503.0,18080,2892.0,31472,,,,,,,,64706.0,47519.0
14516.0,18080,2892.0,31496,,,,,,,,64709.0,47517.0
14520.0,18048,2892.0,31480,,,,,,,,64707.0,47517.0
14514.0,18048,2892.0,31488,,,,,,,,64709.0,47518.0
14491.0,18048,2894.0,31464,,,,,,,,64702.0,47515.0
14514.0,18032,2894.0,31464,,,,,,,,64705.0,47516.0
14510.0,17984,2894.0,31440,,,,,,,,64704.0,47513.0
14502.0,17952,2892.0,31448,,,,,,,,64705.0,47513.0
14499.0,17920,2892.0,31440,,,,,,,,64702.0,47513.0
14499.0,17960,2892.0,31464,,,,,,,,64703.0,47514.0
14481.0,17952,2894.0,31448,,,,,,,,64703.0,47512.0
14472.0,17952,2891.0,31440,,,,,,,,64703.0,47512.0
14466.0,18016,2891.0,31456,,,,,,,,64702.0,47513.0
14465.0,18128,2895.0,31520,,,,,,,,64700.0,47516.0
14459.0,18272,2892.0,31576,,,,,,,,64702.0,47513.0
14460.0,18432,2894.0,31616,,,,,,,,64702.0,47513.0
14481.0,18600,2891.0,31656,,,,,,,,64702.0,47513.0
14492.0,18728,2891.0,31720,,,,,,,,64701.0,47513.0
14493.0,18920,2892.0,31736,,,,,,,,64701.0,47511.0
14495.0,19048,2892.0,31784,,,,,,,,64702.0,47511.0
14495.0,19176,2892.0,31824,,,,,,,,64698.0,47510.0
14502.0,19240,2894.0,31840,,,,,,,,64702.0,47514.0
14499.0,19272,2888.0,31872,,,,,,,,64699.0,47511.0
14499.0,19304,2894.0,31880,,,,,,,,64704.0,47513.0
14489.0,19320,2892.0,31896,,,,,,,,64699.0,47511.0
14446.0,19376,2892.0,31872,,,,,,,,64703.0,47514.0
14463.0,19352,2892.0,31912,,,,,,,,64701.0,47510.0
14463.0,19376,2892.0,31936,,,,,,,,64699.0,47509.0
14467.0,19368,2892.0,31928,,,,,,,,64697.0,47510.0
14464.0,19344,2894.0,31888,,,,,,,,64700.0,47510.0
14470.0,19328,2891.0,31872,,,,,,,,64700.0,47510.0
14480.0,19352,2894.0,31912,,,,,,,,64701.0,47511.0
14467.0,19304,2892.0,31880,,,,,,,,64700.0,47510.0
14471.0,19328,2892.0,31880,,,,,,,,64701.0,47510.0
14473.0,19248,2891.0,31880,,,,,,,,64701.0,47508.0
14476.0,19240,2895.0,31864,,,,,,,,64704.0,47509.0
14498.0,19224,2891.0,31856,,,,,,,,64699.0,47510.0
14480.0,19200,2894.0,31848,,,,,,,,64699.0,47510.0
14528.0,19184,2892.0,31848,,,,,,,,64701.0,47509.0
14525.0,19160,2894.0,31864,,,,,,,,64701.0,47510.0
14521.0,19152,2894.0,31824,,,,,,,,64699.0,47509.0
14525.0,19144,2892.0,31816,,,,,,,,64702.0,47510.0
14525.0,19144,2894.0,31848,,,,,,,,64701.0,47508.0
14532.0,19144,2895.0,31824,,,,,,,,64703.0,47507.0
14524.0,19128,2892.0,31840,,,,,,,,64697.0,47509.0
14505.0,19192,2894.0,31848,,,,,,,,64703.0,47507.0
14522.0,19176,2894.0,31824,,,,,,,,64700.0,47507.0
14525.0,19152,2894.0,31840,,,,,,,,64701.0,47508.0
