PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
25146,9104,2909.0,720,,,,,,,,2.0,2.0
25125,9112,2909.0,736,,,,,,,,0.0,0.0
25090,9112,2908.0,728,,,,,,,,2.0,2.0
25092,9120,2909.0,744,,,,,,,,0.0,0.0
25084,9112,2907.0,736,,,,,,,,2.0,2.0
25093,9104,2909.0,720,,,,,,,,1.0,0.0
25096,9088,2911.0,728,,,,,,,,2.0,1.0
25062,9088,2909.0,728,,,,,,,,0.0,0.0
25095,9112,2909.0,728,,,,,,,,2.0,2.0
25116,9080,2908.0,728,,,,,,,,1.0,0.0
25111,9112,2908.0,704,,,,,,,,2.0,1.0
25103,9096,2908.0,736,,,,,,,,1.0,0.0
25104,9088,2911.0,744,,,,,,,,2.0,1.0
25104,9088,2908.0,712,,,,,,,,1.0,0.0
25103,9112,2909.0,728,,,,,,,,2.0,2.0
25103,9088,2909.0,744,,,,,,,,1.0,0.0
25104,9088,2909.0,720,,,,,,,,3.0,1.0
25103,9080,2911.0,704,,,,,,,,1.0,0.0
25078,9112,2909.0,728,,,,,,,,2.0,2.0
25087,9096,2909.0,712,,,,,,,,1.0,0.0
25093,9096,2909.0,712,,,,,,,,2.0,2.0
25057,9096,2908.0,736,,,,,,,,1.0,0.0
25028,9088,2911.0,728,,,,,,,,2.0,1.0
25031,9096,2909.0,736,,,,,,,,1.0,0.0
25019,9088,2908.0,736,,,,,,,,2.0,1.0
25026,9112,2908.0,704,,,,,,,,1.0,0.0
25032,9088,2911.0,712,,,,,,,,2.0,2.0
25014,9080,2908.0,736,,,,,,,,0.0,0.0
25071,9096,2909.0,728,,,,,,,,2.0,2.0
25055,9088,2909.0,744,,,,,,,,1.0,0.0
25067,9112,2909.0,728,,,,,,,,2.0,1.0
25058,9080,2911.0,728,,,,,,,,1.0,65535.0
25057,9096,2909.0,736,,,,,,,,2.0,2.0
25056,9104,2909.0,744,,,,,,,,1.0,65535.0
25059,9096,2908.0,728,,,,,,,,2.0,1.0
25055,9104,2908.0,736,,,,,,,,1.0,0.0
25055,9080,2908.0,720,,,,,,,,2.0,1.0
25052,9096,2908.0,704,,,,,,,,1.0,65535.0
25045,9088,2908.0,720,,,,,,,,2.0,1.0
25010,9064,2909.0,720,,,,,,,,1.0,0.0
25029,9112,2911.0,720,,,,,,,,2.0,1.0
25012,9104,2909.0,736,,,,,,,,1.0,0.0
24967,9104,2911.0,744,,,,,,,,2.0,1.0
24980,9088,2908.0,736,,,,,,,,1.0,0.0
24974,9128,2911.0,744,,,,,,,,2.0,2.0
24981,9096,2909.0,720,,,,,,,,1.0,0.0
24979,9120,2909.0,712,,,,,,,,2.0,1.0
24967,9096,2911.0,736,,,,,,,,1.0,65535.0
25008,9104,2911.0,712,,,,,,,,2.0,2.0
24968,9088,2909.0,712,,,,,,,,1.0,65535.0
25002,9112,2909.0,712,,,,,,,,2.0,1.0
25002,9120,2912.0,744,,,,,,,,1.0,0.0
25002,9096,2909.0,728,,,,,,,,2.0,1.0
25003,9096,2911.0,704,,,,,,,,1.0,0.0
25001,9112,2908.0,752,,,,,,,,2.0,2.0
25003,9080,2909.0,728,,,,,,,,0.0,0.0
25002,9096,2909.0,712,,,,,,,,2.0,1.0
25010,9080,2908.0,736,,,,,,,,1.0,65535.0
25028,9112,2909.0,728,,,,,,,,2.0,2.0
25031,9072,2909.0,704,,,,,,,,0.0,0.0
25051,9120,2911.0,736,,,,,,,,2.0,1.0
25043,9088,2909.0,736,,,,,,,,1.0,0.0
25036,9104,2908.0,736,,,,,,,,2.0,2.0
25059,9112,2907.0,712,,,,,,,,1.0,0.0
25052,9072,2911.0,720,,,,,,,,2.0,2.0
25058,9096,2911.0,736,,,,,,,,1.0,0.0
25054,9096,2909.0,736,,,,,,,,2.0,2.0
25037,9096,2911.0,744,,,,,,,,0.0,0.0
25092,9104,2909.0,720,,,,,,,,2.0,2.0
25098,9088,2907.0,728,,,,,,,,1.0,0.0
25070,9104,2911.0,736,,,,,,,,2.0,1.0
25085,9096,2909.0,728,,,,,,,,1.0,0.0
25081,9088,2911.0,712,,,,,,,,2.0,1.0
25078,9104,2907.0,712,,,,,,,,1.0,0.0
25069,9088,2909.0,712,,,,,,,,2.0,2.0
25063,9112,2911.0,712,,,,,,,,1.0,0.0
25059,9096,2912.0,712,,,,,,,,2.0,1.0
25052,9088,2909.0,720,,,,,,,,1.0,0.0
25052,9096,2912.0,728,,,,,,,,1.0,2.0
25049,9080,2909.0,720,,,,,,,,0.0,0.0
25013,9104,2908.0,712,,,,,,,,2.0,1.0
25016,9104,2909.0,728,,,,,,,,1.0,0.0
24980,9096,2911.0,720,,,,,,,,2.0,1.0
24969,9088,2908.0,736,,,,,,,,0.0,0.0
24970,9096,2909.0,712,,,,,,,,2.0,1.0
24967,9104,2911.0,720,,,,,,,,1.0,0.0
24962,9080,2909.0,720,,,,,,,,2.0,2.0
24974,9088,2908.0,712,,,,,,,,0.0,0.0
24954,9112,2911.0,712,,,,,,,,2.0,2.0
25022,9080,2909.0,720,,,,,,,,1.0,0.0
24987,9088,2909.0,728,,,,,,,,2.0,1.0
25000,9088,2909.0,720,,,,,,,,1.0,65535.0
25011,9112,2908.0,720,,,,,,,,2.0,2.0
25009,9096,2908.0,728,,,,,,,,1.0,0.0
25011,9088,2909.0,736,,,,,,,,2.0,1.0
25008,9096,2908.0,712,,,,,,,,1.0,0.0
25002,9088,2912.0,704,,,,,,,,2.0,2.0
25002,9120,2909.0,728,,,,,,,,1.0,0.0
24999,9104,2912.0,720,,,,,,,,2.0,2.0
24998,9096,2909.0,712,,,,,,,,1.0,65535.0
24974,9104,2909.0,736,,,,,,,,2.0,1.0
24934,9096,2909.0,736,,,,,,,,1.0,0.0
24922,9096,2909.0,736,,,,,,,,2.0,2.0
24912,9104,2909.0,728,,,,,,,,1.0,0.0
24910,9088,2911.0,712,,,,,,,,2.0,2.0
24908,9096,2909.0,712,,,,,,,,1.0,0.0
24914,9080,2909.0,728,,,,,,,,2.0,1.0
24886,9088,2909.0,712,,,,,,,,0.0,0.0
24882,9088,2909.0,728,,,,,,,,3.0,2.0
24925,9120,2909.0,712,,,,,,,,1.0,0.0
24927,9104,2908.0,736,,,,,,,,3.0,2.0
24908,9088,2909.0,720,,,,,,,,0.0,0.0
24926,9104,2908.0,720,,,,,,,,3.0,1.0
24919,9104,2911.0,728,,,,,,,,1.0,0.0
24916,9104,2909.0,736,,,,,,,,2.0,2.0
24912,9120,2912.0,736,,,,,,,,1.0,0.0
24909,9096,2909.0,728,,,,,,,,2.0,1.0
24909,9104,2908.0,720,,,,,,,,1.0,0.0
24905,9112,2908.0,736,,,,,,,,2.0,2.0
24900,9088,2908.0,728,,,,,,,,1.0,65535.0
24897,9104,2909.0,728,,,,,,,,2.0,1.0
24850,9104,2909.0,712,,,,,,,,0.0,65535.0
24843,9104,2909.0,728,,,,,,,,2.0,1.0
24839,9088,2911.0,744,,,,,,,,1.0,0.0
24832,9104,2909.0,712,,,,,,,,2.0,1.0
24840,9088,2911.0,736,,,,,,,,1.0,0.0
24825,9088,2908.0,720,,,,,,,,2.0,1.0
24808,9096,2911.0,728,,,,,,,,1.0,0.0
24856,9104,2911.0,720,,,,,,,,2.0,2.0
24874,9080,2911.0,712,,,,,,,,0.0,0.0
24875,9080,2911.0,720,,,,,,,,2.0,1.0
24837,9088,2909.0,736,,,,,,,,1.0,0.0
24872,9096,2909.0,736,,,,,,,,2.0,2.0
24872,9104,2909.0,728,,,,,,,,0.0,0.0
24875,9080,2908.0,720,,,,,,,,2.0,2.0
24872,9080,2909.0,744,,,,,,,,1.0,0.0
24849,9120,2911.0,696,,,,,,,,3.0,1.0
24853,9112,2909.0,720,,,,,,,,1.0,0.0
24842,9088,2912.0,696,,,,,,,,2.0,1.0
24837,9096,2911.0,712,,,,,,,,1.0,0.0
24836,9112,2912.0,744,,,,,,,,3.0,2.0
24789,9104,2911.0,720,,,,,,,,1.0,0.0
24781,9104,2909.0,720,,,,,,,,2.0,2.0
24767,9072,2911.0,720,,,,,,,,1.0,0.0
24772,9104,2911.0,720,,,,,,,,2.0,1.0
24774,9072,2911.0,736,,,,,,,,1.0,0.0
24773,9080,2911.0,736,,,,,,,,2.0,1.0
24773,9096,2909.0,736,,,,,,,,0.0,0.0
24750,9104,2911.0,704,,,,,,,,2.0,1.0
24821,9088,2909.0,728,,,,,,,,1.0,0.0
24813,9096,2909.0,720,,,,,,,,2.0,1.0
24812,9104,2911.0,704,,,,,,,,1.0,0.0
24792,9096,2908.0,728,,,,,,,,2.0,2.0
24809,9112,2912.0,736,,,,,,,,1.0,0.0
24799,9104,2909.0,728,,,,,,,,2.0,2.0
24796,9088,2909.0,720,,,,,,,,1.0,0.0
24796,9096,2909.0,728,,,,,,,,2.0,1.0
24798,9096,2908.0,704,,,,,,,,1.0,0.0
24791,9096,2909.0,712,,,,,,,,2.0,2.0
24788,9096,2908.0,728,,,,,,,,1.0,65535.0
24777,9104,2909.0,720,,,,,,,,2.0,2.0
