PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
10409.0,32720.0,2892.0,20800.0,2885.0,10688,5368.0,2910.0,384,65377.0,202.0,3231.0,48051.0
10375.0,32736.0,2894.0,20784.0,2883.0,10656,5368.0,2911.0,392,65373.0,211.0,3240.0,48064.0
10362.0,32688.0,2890.0,20792.0,2882.0,10592,5352.0,2913.0,400,65376.0,203.0,3223.0,48040.0
10367.0,32680.0,2891.0,20792.0,2882.0,10544,5368.0,2911.0,400,65373.0,211.0,3227.0,48037.0
10372.0,32672.0,2891.0,20800.0,2883.0,10560,5344.0,2911.0,392,65377.0,202.0,3212.0,48028.0
10373.0,32624.0,2891.0,20808.0,2883.0,10544,5376.0,2913.0,400,65372.0,211.0,3219.0,48021.0
10375.0,32632.0,2888.0,20800.0,2882.0,10544,5360.0,2911.0,392,65376.0,202.0,3215.0,48036.0
10426.0,32600.0,2891.0,20824.0,2883.0,10544,5360.0,2909.0,392,65373.0,211.0,3206.0,48021.0
10426.0,32584.0,2890.0,20816.0,2883.0,10544,5352.0,2911.0,392,65377.0,202.0,3194.0,48005.0
10422.0,32544.0,2891.0,20824.0,2885.0,10544,5376.0,2910.0,392,65372.0,212.0,3206.0,48008.0
10411.0,32584.0,2891.0,20840.0,2885.0,10544,5336.0,2911.0,400,65377.0,203.0,3205.0,48005.0
10417.0,32592.0,2891.0,20816.0,2885.0,10544,5360.0,2913.0,392,65374.0,210.0,3209.0,48015.0
10417.0,32640.0,2891.0,20816.0,2885.0,10640,5360.0,2911.0,400,65377.0,202.0,3190.0,48001.0
10371.0,32712.0,2892.0,20792.0,2883.0,10640,5360.0,2911.0,408,65372.0,212.0,3196.0,47996.0
10419.0,32712.0,2891.0,20712.0,2882.0,10656,5360.0,2910.0,384,65377.0,202.0,3194.0,48010.0
10425.0,32600.0,2890.0,20696.0,2885.0,10640,5360.0,2909.0,408,65373.0,210.0,3197.0,48009.0
10418.0,32544.0,2890.0,20688.0,2882.0,10592,5360.0,2913.0,392,65376.0,202.0,3194.0,48026.0
10423.0,32440.0,2891.0,20632.0,2883.0,10592,5360.0,2913.0,408,65373.0,211.0,3195.0,48008.0
10420.0,32368.0,2892.0,20632.0,2880.0,10608,5336.0,2913.0,416,65377.0,202.0,3183.0,48001.0
10428.0,32312.0,2890.0,20632.0,2883.0,10592,5368.0,2911.0,400,65373.0,210.0,3176.0,47980.0
10423.0,32264.0,2890.0,20608.0,2883.0,10592,5352.0,2911.0,400,65377.0,202.0,3160.0,47959.0
10378.0,32224.0,2891.0,20600.0,2882.0,10608,5352.0,2911.0,408,65373.0,211.0,3168.0,47956.0
10367.0,32192.0,2890.0,20592.0,2880.0,10576,5352.0,2911.0,384,65377.0,202.0,3151.0,47949.0
10372.0,32192.0,2891.0,20600.0,2885.0,10528,5376.0,2911.0,408,65373.0,210.0,3152.0,47946.0
10372.0,32192.0,2888.0,20608.0,2883.0,10544,5376.0,2911.0,392,65377.0,202.0,3142.0,47928.0
10370.0,32208.0,2891.0,20600.0,2885.0,10544,5344.0,2911.0,376,65372.0,212.0,3144.0,47933.0
10371.0,32216.0,2890.0,20608.0,2880.0,10544,5352.0,2914.0,400,65377.0,203.0,3133.0,47923.0
10348.0,32184.0,2890.0,20584.0,2882.0,10608,5344.0,2911.0,392,65373.0,210.0,3143.0,47919.0
10415.0,32208.0,2891.0,20600.0,2882.0,10608,5368.0,2911.0,408,65377.0,202.0,3131.0,47925.0
10422.0,32248.0,2890.0,20616.0,2883.0,10608,5352.0,2911.0,384,65373.0,211.0,3131.0,47902.0
10424.0,32264.0,2890.0,20616.0,2885.0,10608,5344.0,2911.0,400,65377.0,202.0,3117.0,47892.0
10424.0,32272.0,2890.0,20608.0,2885.0,10608,5368.0,2911.0,424,65373.0,210.0,3120.0,47889.0
10419.0,32264.0,2890.0,20608.0,2882.0,10608,5360.0,2910.0,392,65377.0,202.0,3109.0,47886.0
10384.0,32280.0,2890.0,20616.0,2883.0,10544,5352.0,2911.0,408,65372.0,212.0,3116.0,47883.0
10423.0,32312.0,2890.0,20640.0,2885.0,10608,5336.0,2914.0,376,65377.0,202.0,3096.0,47865.0
10419.0,32352.0,2891.0,20624.0,2880.0,10608,5352.0,2913.0,408,65374.0,209.0,3082.0,47849.0
10405.0,32384.0,2890.0,20664.0,2883.0,10592,5320.0,2911.0,408,65377.0,202.0,3075.0,47832.0
10405.0,32416.0,2892.0,20656.0,2882.0,10592,5352.0,2911.0,392,65373.0,211.0,3078.0,47823.0
10404.0,32424.0,2891.0,20664.0,2885.0,10592,5328.0,2910.0,408,65376.0,204.0,3061.0,47825.0
10400.0,32448.0,2890.0,20672.0,2883.0,10592,5376.0,2911.0,400,65372.0,212.0,3073.0,47813.0
10401.0,32464.0,2891.0,20664.0,2883.0,10592,5352.0,2911.0,400,65377.0,202.0,3058.0,47803.0
10363.0,32472.0,2888.0,20672.0,2882.0,10592,5352.0,2910.0,384,65372.0,212.0,3059.0,47791.0
10348.0,32424.0,2891.0,20656.0,2882.0,10544,5376.0,2914.0,392,65377.0,203.0,3014.0,47725.0
