,PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
0,,20592.0,3389.0,28304,2845.0,16005.0,25744.0,3420.0,27000.0,2162.0,61023.0,60.0,62173.0
1,,20584.0,3391.0,28320,2846.0,16014.0,25760.0,3422.0,27016.0,2657.0,59097.0,65244.0,62169.0
2,,20600.0,3389.0,28328,2848.0,16005.0,25736.0,3418.0,27040.0,2227.0,60917.0,19.0,62074.0
3,,20576.0,3389.0,28328,2848.0,16009.0,25728.0,3418.0,27040.0,2493.0,60003.0,65240.0,62169.0
4,,20560.0,3389.0,28288,2848.0,16006.0,25720.0,3421.0,27032.0,2705.0,58656.0,45.0,61880.0
5,,20584.0,3391.0,28288,2848.0,16009.0,25688.0,3424.0,27016.0,2189.0,58503.0,65224.0,62190.0
6,,20576.0,3385.0,28312,2848.0,15994.0,25704.0,3421.0,27032.0,2212.0,58345.0,64890.0,62491.0
7,,20568.0,3386.0,28312,2848.0,15983.0,25704.0,3421.0,27024.0,2264.0,58263.0,65233.0,62202.0
8,,20552.0,3385.0,28312,2848.0,15993.0,25680.0,3421.0,27048.0,1926.0,61524.0,65055.0,62582.0
9,,20552.0,3386.0,28320,2846.0,15999.0,25680.0,3422.0,27048.0,1516.0,61763.0,65225.0,62165.0
10,,20552.0,3385.0,28328,2848.0,14335.0,25664.0,3424.0,27072.0,1672.0,61434.0,64765.0,62206.0
11,,20552.0,3385.0,28328,2845.0,15327.0,25648.0,3421.0,27048.0,1694.0,61010.0,65228.0,62174.0
12,,20536.0,3384.0,28336,2846.0,15886.0,25648.0,3421.0,27072.0,1632.0,61232.0,65429.0,61939.0
13,,20528.0,3385.0,28320,2848.0,15994.0,25640.0,3422.0,27056.0,2004.0,61245.0,65229.0,62156.0
14,,20544.0,3386.0,28320,2848.0,15998.0,25616.0,3420.0,27048.0,2112.0,61015.0,65136.0,61910.0
15,,20544.0,3385.0,28312,2845.0,15997.0,25616.0,3424.0,27056.0,2023.0,61838.0,65254.0,62116.0
16,,20536.0,3385.0,28336,2845.0,16003.0,25624.0,3422.0,27072.0,1747.0,60859.0,64983.0,62302.0
17,,20504.0,3386.0,28328,2845.0,16008.0,25608.0,3422.0,27080.0,1866.0,60943.0,65268.0,62180.0
18,,20520.0,3384.0,28336,2846.0,16011.0,25616.0,3424.0,27064.0,1603.0,61331.0,65291.0,62465.0
19,,20536.0,3384.0,28328,2846.0,16011.0,25560.0,3422.0,27056.0,1699.0,60964.0,65221.0,62208.0
20,,20504.0,3386.0,28304,2848.0,16016.0,25584.0,3422.0,27080.0,2150.0,61241.0,64945.0,62231.0
