PAT,pat,RED,red,IR,ir,TEMP,temp,env,real_imp,img_imp,REAL_IMP,IMG_IMP
,32172,,22511,,32466,,3472.0,2786.0,,,65535.0,62151.0
,32172,,22423,,32160,,3472.0,2784.0,,,62151.0,5371.0
,32167,,22500,,32484,,3473.0,2784.0,,,62179.0,5422.0
,32195,,22509,,32466,,3472.0,2784.0,,,62175.0,5373.0
,32214,,22493,,32449,,3473.0,2784.0,,,65498.0,5375.0
,32235,,22468,,32413,,3470.0,2784.0,,,62172.0,5425.0
,32265,,22449,,32341,,3472.0,2784.0,,,62168.0,65325.0
,32265,,22457,,32266,,3476.0,2783.0,,,62176.0,65530.0
,32295,,22421,,32258,,3470.0,2784.0,,,65504.0,65535.0
,32309,,22381,,32155,,3475.0,2786.0,,,62176.0,5370.0
,32338,,22346,,32044,,3475.0,2786.0,,,65504.0,5375.0
,32347,,22307,,31929,,3475.0,2786.0,,,6399.0,5370.0
,32351,,22282,,31834,,3472.0,2784.0,,,29439.0,5370.0
,32351,,22475,,32364,,3472.0,2786.0,,,62207.0,5370.0
,32348,,22262,,31722,,3472.0,2783.0,,,65535.0,65535.0
,32363,,22223,,31621,,3475.0,2787.0,,,62176.0,5370.0
,32366,,22203,,31572,,3473.0,2786.0,,,62176.0,5370.0
,32371,,22184,,31493,,3472.0,2784.0,,,62176.0,5375.0
,32365,,22177,,31459,,3475.0,2784.0,,,62176.0,5370.0
,32365,,22511,,32466,,3473.0,2783.0,,,62176.0,65530.0
,32371,,22170,,31434,,3473.0,2784.0,,,62147.0,5394.0
,32358,,22173,,31426,,3473.0,2784.0,,,62207.0,5391.0
,32355,,22173,,31413,,3473.0,2786.0,,,65506.0,65301.0
,32357,,22168,,31432,,3473.0,2783.0,,,65535.0,65317.0
,32354,,22190,,31450,,3472.0,2784.0,,,62178.0,5413.0
,32354,,22449,,32341,,3476.0,2783.0,,,65506.0,5413.0
,32356,,22192,,31465,,3473.0,2784.0,,,62178.0,65317.0
,32355,,22208,,31498,,3475.0,2784.0,,,65280.0,5631.0
,32358,,22222,,31532,,3473.0,2783.0,,,62156.0,5435.0
,32353,,22225,,31569,,3475.0,2784.0,,,62162.0,5426.0
,32346,,22237,,31597,,3475.0,2784.0,,,62171.0,5405.0
,32346,,22282,,31834,,3475.0,2786.0,,,1.0,5371.0
,32338,,22258,,31641,,3475.0,2783.0,,,182.0,5413.0
,32327,,22257,,31684,,3472.0,2783.0,,,62134.0,5413.0
,32334,,22276,,31729,,3475.0,2783.0,,,62207.0,5392.0
,32325,,22286,,31749,,3476.0,2784.0,,,62182.0,5392.0
,32316,,22287,,31783,,3475.0,2783.0,,,62182.0,5392.0
,32316,,22177,,31459,,3475.0,2786.0,,,62182.0,5392.0
,32319,,22305,,31802,,3476.0,2783.0,,,62145.0,5417.0
,32320,,22312,,31825,,3472.0,2783.0,,,62138.0,5413.0
,32318,,22316,,31853,,3472.0,2783.0,,,62169.0,5417.0
,32327,,22312,,31869,,3475.0,2783.0,,,178.0,5392.0
,32316,,22315,,31883,,3475.0,2783.0,,,62130.0,5392.0
,32316,,22190,,31450,,3473.0,2784.0,,,62139.0,5408.0
,32327,,22330,,31889,,3475.0,2784.0,,,62139.0,5408.0
,32299,,22329,,31907,,3472.0,2784.0,,,62175.0,5386.0
,32301,,22336,,31933,,3477.0,2781.0,,,62184.0,5381.0
,32295,,22328,,31952,,3472.0,2783.0,,,232.0,5381.0
,32301,,22335,,31949,,3475.0,2784.0,,,62184.0,5381.0
,32301,,22237,,31597,,3473.0,2783.0,,,62163.0,5414.0
,32296,,22354,,31954,,3475.0,2784.0,,,62146.0,5368.0
,32294,,22350,,31976,,3476.0,2781.0,,,62154.0,5372.0
