pat,red,ir,real_imp,img_imp,temp,env
24578,22632.0,31822.0,6460.0,61432.0,3547.0,3199.0
24582,22619.0,31814.0,6456.0,61431.0,3544.0,3197.0
24582,22641.0,31786.0,6443.0,61432.0,3545.0,3196.0
24562,22624.0,31807.0,6452.0,61425.0,3544.0,3199.0
24554,22609.0,31848.0,6463.0,61436.0,3545.0,3199.0
24545,22569.0,31919.0,6438.0,61430.0,3543.0,3196.0
24545,22552.0,32009.0,6424.0,61441.0,3547.0,3200.0
24552,22515.0,32089.0,6451.0,61430.0,3550.0,3199.0
23737,22473.0,32175.0,6434.0,61425.0,3547.0,3197.0
21765,22452.0,32269.0,6449.0,61426.0,3548.0,3200.0
21765,22434.0,32339.0,6453.0,61422.0,3545.0,3197.0
24341,22379.0,32466.0,6452.0,61443.0,3547.0,3199.0
24481,22362.0,32527.0,6459.0,61429.0,3548.0,3199.0
24474,22339.0,32574.0,6458.0,61424.0,3550.0,3197.0
24474,22339.0,32617.0,6449.0,61439.0,3548.0,3200.0
24485,22323.0,32650.0,6454.0,61424.0,3550.0,3199.0
24494,22318.0,32667.0,6453.0,61428.0,3550.0,3200.0
24503,22329.0,32649.0,6451.0,61424.0,3548.0,3199.0
24503,22336.0,32651.0,6449.0,61431.0,3550.0,3197.0
24497,22330.0,32630.0,6449.0,61422.0,3550.0,3200.0
24495,22349.0,32620.0,6441.0,61434.0,3548.0,3196.0
24499,22355.0,32582.0,6461.0,61435.0,3547.0,3199.0
24499,22367.0,32565.0,6459.0,61425.0,3545.0,3196.0
24491,22384.0,32505.0,6454.0,61409.0,3548.0,3199.0
24482,22400.0,32480.0,6446.0,61423.0,3547.0,3200.0
24494,22419.0,32428.0,6456.0,61418.0,3547.0,3199.0
24494,22427.0,32400.0,6448.0,61416.0,3547.0,3197.0
24474,22433.0,32368.0,6455.0,61430.0,3548.0,3197.0
24468,22438.0,32349.0,6457.0,61408.0,3547.0,3199.0
24475,22448.0,32037.0,6451.0,61418.0,3548.0,3201.0
24353,22513.0,32026.0,6441.0,61415.0,3547.0,3196.0
24347,22513.0,32006.0,6460.0,61418.0,3548.0,3197.0
24347,22518.0,32008.0,6454.0,61414.0,3548.0,3199.0
24353,22528.0,31979.0,6451.0,61422.0,3547.0,3201.0
24384,22525.0,31980.0,6448.0,61408.0,3547.0,3200.0
24391,22535.0,31962.0,6452.0,61425.0,3548.0,3199.0
24391,22547.0,31950.0,6453.0,61427.0,3548.0,3197.0
24464,22544.0,31939.0,6459.0,61419.0,3547.0,3197.0
24464,22554.0,31920.0,6459.0,61414.0,3548.0,3197.0
24465,22545.0,31906.0,6460.0,61424.0,3548.0,3199.0
24465,22547.0,31889.0,6457.0,61415.0,3548.0,3199.0
24463,22562.0,31871.0,6451.0,61416.0,3550.0,3199.0
24456,22576.0,31861.0,6438.0,61414.0,3550.0,3197.0
24458,22577.0,31852.0,6451.0,61416.0,3548.0,3200.0
24458,22572.0,31896.0,6455.0,61420.0,3550.0,3200.0
24442,22542.0,31941.0,6441.0,61421.0,3550.0,3199.0
24417,22531.0,32009.0,6456.0,61418.0,3550.0,3200.0
23180,22513.0,32069.0,6455.0,61407.0,3548.0,3199.0
23180,22485.0,32117.0,6438.0,61418.0,3550.0,3200.0
24369,22461.0,32200.0,6457.0,61419.0,3548.0,3197.0
24358,22430.0,32261.0,6461.0,61420.0,3548.0,3197.0
24351,22424.0,32328.0,6454.0,61424.0,3547.0,3199.0
24351,22409.0,32429.0,6452.0,61419.0,3547.0,3199.0
24381,22378.0,32447.0,6426.0,61452.0,3548.0,3200.0
24369,22367.0,32470.0,6460.0,61417.0,3551.0,3201.0
24378,22360.0,32491.0,6452.0,61407.0,3550.0,3200.0
24378,22355.0,32509.0,6447.0,61412.0,3547.0,3196.0
24353,22345.0,32504.0,6459.0,61408.0,3548.0,3199.0
24375,22349.0,32508.0,6466.0,61410.0,3548.0,3199.0
24385,22352.0,32503.0,6467.0,61420.0,3550.0,3197.0
24385,22362.0,32480.0,6459.0,61420.0,3550.0,3199.0
24382,22368.0,32476.0,6453.0,61406.0,3548.0,3196.0
24380,22374.0,32430.0,6449.0,61414.0,3550.0,3196.0
24381,22389.0,32393.0,6437.0,61410.0,3550.0,3199.0
24381,22398.0,32366.0,6454.0,61412.0,3550.0,3197.0
24114,22404.0,32338.0,6454.0,61409.0,3547.0,3197.0
24357,22412.0,32312.0,6453.0,61418.0,3548.0,3199.0
24329,22418.0,32296.0,6454.0,61423.0,3550.0,3196.0
24329,22437.0,32271.0,6451.0,61412.0,3547.0,3200.0
24312,22443.0,32253.0,6457.0,61419.0,3548.0,3199.0
24356,22440.0,32248.0,6467.0,61418.0,3550.0,3199.0
24356,22439.0,32237.0,6456.0,61414.0,3550.0,3197.0
24356,22445.0,32239.0,6444.0,61423.0,3550.0,3199.0
24355,22445.0,32242.0,6451.0,61405.0,3547.0,3197.0
24330,22445.0,32236.0,6460.0,61426.0,3548.0,3197.0
24312,22440.0,32243.0,6445.0,61413.0,3547.0,3197.0
24312,22441.0,32232.0,6454.0,61411.0,3548.0,3197.0
24295,22442.0,32231.0,6465.0,61411.0,3548.0,3196.0
24281,22441.0,32237.0,6465.0,61419.0,3547.0,3199.0
24271,22460.0,32221.0,6457.0,61416.0,3550.0,3194.0
24271,22457.0,32214.0,6454.0,61418.0,3550.0,3197.0
24322,22461.0,32218.0,6455.0,61421.0,3547.0,3196.0
24299,22471.0,32182.0,6455.0,61409.0,3550.0,3197.0
24282,22464.0,32186.0,6455.0,61410.0,3548.0,3196.0
24282,22473.0,32168.0,6455.0,61418.0,3548.0,3199.0
24284,22458.0,32157.0,6458.0,61412.0,3547.0,3196.0
24297,22476.0,32139.0,6458.0,61412.0,3548.0,3194.0
24367,22479.0,32131.0,6462.0,61425.0,3550.0,3199.0
24367,22482.0,32102.0,6458.0,61422.0,3550.0,3197.0
24385,22499.0,32081.0,6451.0,61415.0,3550.0,3197.0
24404,22497.0,32076.0,6453.0,61419.0,3550.0,3197.0
24407,22508.0,32042.0,6464.0,61417.0,3548.0,3197.0
